column,count,n_missing,mean,std,min,p5,p25,median,p75,p95,max,skew,kurt,n_nonpos
w1,1015.0,0.0,26.059006896551725,13.201313101225928,1.0,10.0,14.5,23.72,36.0,48.0,50.0,0.17238200984642896,-1.2666919479576748,0.0
w2,1015.0,0.0,24.460004926108372,12.881954451484207,1.0,3.0,14.5,23.5,38.5,42.799999999999955,49.51,-0.08150562833292073,-1.0714479591695163,0.0
w3,1015.0,0.0,19.282333990147784,11.671963732827953,1.0,2.0,8.0,18.5,28.5,38.36699999999999,49.5,0.2254340282916851,-0.7864241975289086,0.0
w4,1015.0,0.0,33.14298719211823,11.552014769278076,1.0,9.700000000000003,27.0,38.0,39.0,48.5,50.0,-0.886692180256184,0.1498599531385656,0.0
w5,1015.0,0.0,28.34585911330049,9.454567346052311,1.713,11.0,25.0,26.5,33.0,43.5,49.5,-0.13306038708196524,0.002596548420048972,0.0
l1,1015.0,0.0,1.3304623645320197,0.44098392956707083,0.5,0.5,1.0,1.5,1.5,2.0,2.0,-0.004584365012676009,-0.8345869249924922,0.0
l2,1015.0,0.0,1.2078906403940888,0.35377340799196905,0.5,0.5,1.0,1.0,1.5,1.5560999999999992,2.0,-0.0359512984677043,-0.33291599094072355,0.0
l3,1015.0,0.0,1.1624997044334975,0.508269894127172,0.5,0.5,0.5,1.0,1.5,2.0,2.0,0.1371136980987711,-1.1330657047034804,0.0
l4,1015.0,0.0,0.7178347783251232,0.39198755085081066,0.5,0.5,0.5,0.5,1.0,1.5,2.0,1.7296954799520372,1.9768291785732037,0.0
l5,1015.0,0.0,1.1620333990147782,0.6040618324753066,0.5,0.5,0.5,1.0,2.0,2.0,2.0,0.2936065697408799,-1.47863219678444,0.0
cc,1015.0,0.0,1.3703600000000002e-12,4.960595201491168e-13,1e-13,3.883900000000001e-13,1e-12,1.3e-12,1.9e-12,2e-12,2e-12,-0.4995164120210762,-0.6679686108364673,0.0
cr,1015.0,0.0,38552.50935960591,24184.86485015326,1000.0,18000.0,19500.0,32000.0,46500.0,97500.0,100000.0,1.2817637176150825,0.545795826315957,0.0
ibias,1015.0,0.0,1.601993103448276e-05,4.8212549717000475e-06,1e-05,1e-05,1e-05,2e-05,2e-05,2e-05,2e-05,-0.418408382467946,-1.8022817032764173,0.0
