feature,r_src,r_tgt,abs_diff
l2,0.1477541282725987,-0.06716245341616353,0.21491658168876224
w2,-0.020943193281162835,0.07998719226648712,0.10093038554764996
l3,-0.012848646258253712,-0.08805242085787277,0.07520377459961905
l1,0.023043471539122538,0.08406271668109154,0.061019245141969006
w3,0.10491296079904745,0.1550698730234555,0.05015691222440806
l4,0.009837381578383469,-0.03807417531543181,0.04791155689381528
w5,-0.04669132002065286,-0.013408622623928994,0.03328269739672387
w4,0.11154403284934053,0.08381417319771116,0.02772985965162937
w1,0.01530806309452819,0.03725684663701809,0.0219487835424899
cr,0.008021910914339295,-0.010617157797312657,0.018639068711651954
