feature,target,pearson_r,abs_r
w3,cmrr,-0.048175599454231784,0.048175599454231784
w4,cmrr,-0.043304548692161056,0.043304548692161056
w5,cmrr,0.03331982849944482,0.03331982849944482
w1,cmrr,-0.024832981993241583,0.024832981993241583
l4,cmrr,0.02068411402535028,0.02068411402535028
cr,cmrr,-0.01761799657350023,0.01761799657350023
w2,cmrr,0.014362830209255809,0.014362830209255809
l2,cmrr,0.013795794105391461,0.013795794105391461
cc,cmrr,-0.00619020169066342,0.00619020169066342
l1,cmrr,-0.0048633254186796395,0.0048633254186796395
l3,cmrr,0.0027728662721778147,0.0027728662721778147
l5,cmrr,-0.0010650509834099803,0.0010650509834099803
ibias,cmrr,,
l2,dc_gain,0.1477541282725987,0.1477541282725987
w4,dc_gain,0.11154403284934053,0.11154403284934053
w3,dc_gain,0.10491296079904745,0.10491296079904745
w5,dc_gain,-0.04669132002065286,0.04669132002065286
l1,dc_gain,0.023043471539122538,0.023043471539122538
w2,dc_gain,-0.020943193281162835,0.020943193281162835
w1,dc_gain,0.01530806309452819,0.01530806309452819
l3,dc_gain,-0.012848646258253712,0.012848646258253712
l4,dc_gain,0.009837381578383469,0.009837381578383469
cr,dc_gain,0.008021910914339295,0.008021910914339295
cc,dc_gain,-0.004097666379709975,0.004097666379709975
l5,dc_gain,-0.0007010926638893519,0.0007010926638893519
ibias,dc_gain,,
l2,phase_margin,0.20508556607603506,0.20508556607603506
l4,phase_margin,-0.12925970335990938,0.12925970335990938
w4,phase_margin,0.1205809356125214,0.1205809356125214
w2,phase_margin,-0.10937828437920616,0.10937828437920616
cc,phase_margin,0.09302338666859612,0.09302338666859612
w5,phase_margin,0.07246580633273951,0.07246580633273951
cr,phase_margin,0.05167318736953994,0.05167318736953994
w1,phase_margin,-0.04691676135457253,0.04691676135457253
w3,phase_margin,-0.022881349037174863,0.022881349037174863
l3,phase_margin,0.008777302743490544,0.008777302743490544
l1,phase_margin,0.007874359889345544,0.007874359889345544
l5,phase_margin,0.004421869400775561,0.004421869400775561
ibias,phase_margin,,
cr,slewrate_pos,0.5536279814105185,0.5536279814105185
l4,slewrate_pos,-0.471028694025838,0.471028694025838
w4,slewrate_pos,0.18851860739216347,0.18851860739216347
w5,slewrate_pos,0.15715262388959003,0.15715262388959003
cc,slewrate_pos,-0.12821298997575628,0.12821298997575628
w3,slewrate_pos,-0.12204394943741001,0.12204394943741001
w2,slewrate_pos,-0.1058569791008096,0.1058569791008096
l2,slewrate_pos,-0.08453802599747234,0.08453802599747234
w1,slewrate_pos,-0.043161410359364036,0.043161410359364036
l5,slewrate_pos,-0.03853175972032293,0.03853175972032293
l1,slewrate_pos,-0.03595697572262682,0.03595697572262682
l3,slewrate_pos,0.024048689643265994,0.024048689643265994
ibias,slewrate_pos,,
l2,ugf,-0.31074881393728837,0.31074881393728837
w4,ugf,-0.18639420933665643,0.18639420933665643
w3,ugf,-0.13987230817356075,0.13987230817356075
l4,ugf,0.13553309304860553,0.13553309304860553
w2,ugf,0.11704994260336188,0.11704994260336188
w5,ugf,0.11379932820092725,0.11379932820092725
l5,ugf,-0.015016164731189335,0.015016164731189335
l3,ugf,0.011557098476377686,0.011557098476377686
l1,ugf,-0.00855461297363459,0.00855461297363459
w1,ugf,-0.005610250421461142,0.005610250421461142
cr,ugf,-0.0042510679896326665,0.0042510679896326665
cc,ugf,-0.003440553253183978,0.003440553253183978
ibias,ugf,,
